Master Index,before_after,date_diff,flight_length,label,hierarchy,number_flights_before
61,after,1,7527.0,intake gasket leak/damage,,-1
62,after,1,154.0,intake gasket leak/damage,,-1
63,after,1,76.0,intake gasket leak/damage,,-1
64,before,-5,8246.0,intake gasket leak/damage,,4
66,before,-1,5055.0,intake gasket leak/damage,,1
67,same,0,1259.0,intake gasket leak/damage,,-1
68,same,0,294.0,intake gasket leak/damage,,-1
69,before,-2,6175.0,intake gasket leak/damage,,4
71,after,1,2269.0,intake gasket leak/damage,,-1
73,same,0,9165.0,intake gasket leak/damage,,-1
74,after,1,14.0,intake gasket leak/damage,,-1
75,after,2,29.0,intake gasket leak/damage,,-1
77,after,8,4469.0,intake gasket leak/damage,,-1
78,before,0,465.0,intake gasket leak/damage,,0
80,same,0,3997.0,intake gasket leak/damage,,-1
81,after,1,5414.0,intake gasket leak/damage,,-1
82,before,-2,1835.0,intake gasket leak/damage,,3
83,after,3,5850.0,intake gasket leak/damage,,-1
84,same,0,4045.0,intake gasket leak/damage,,-1
85,before,0,3809.0,intake gasket leak/damage,,0
86,same,0,4574.0,intake gasket leak/damage,,-1
87,before,-5,5817.0,intake gasket leak/damage,,3
89,after,5,310.0,intake gasket leak/damage,,-1
90,before,-1,6218.0,intake gasket leak/damage,,1
92,same,0,6657.0,intake gasket leak/damage,,-1
93,after,2,6702.0,intake gasket leak/damage,,-1
95,after,2,4260.0,intake gasket leak/damage,,-1
96,after,4,3329.0,intake gasket leak/damage,,-1
99,after,1,1695.0,intake gasket leak/damage,,-1
100,after,1,4511.0,intake gasket leak/damage,,-1
101,after,6,5461.0,intake gasket leak/damage,,-1
103,after,5,5743.0,intake gasket leak/damage,,-1
104,after,1,11361.0,intake gasket leak/damage,,-1
105,after,1,5570.0,intake gasket leak/damage,,-1
107,before,-1,5941.0,intake gasket leak/damage,,2
109,after,1,7110.0,intake gasket leak/damage,,-1
111,before,-1,3449.0,intake gasket leak/damage,,0
112,after,1,5991.0,intake gasket leak/damage,,-1
114,before,0,7796.0,intake gasket leak/damage,,0
115,after,3,6364.0,intake gasket leak/damage,,-1
116,before,0,185.0,intake gasket leak/damage,,0
117,same,0,14.0,intake gasket leak/damage,,-1
118,before,-2,4683.0,intake gasket leak/damage,,1
119,same,0,5523.0,intake gasket leak/damage,,-1
120,same,0,496.0,intake gasket leak/damage,,-1
121,before,-2,5676.0,intake gasket leak/damage,,0
123,same,0,2129.0,intake gasket leak/damage,,-1
125,before,0,403.0,intake gasket leak/damage,,0
126,after,3,3669.0,intake gasket leak/damage,,-1
127,after,1,263.0,intake gasket leak/damage,,-1
128,before,-2,8388.0,intake gasket leak/damage,,4
129,same,0,232.0,intake gasket leak/damage,,-1
130,after,11,1190.0,intake gasket leak/damage,,-1
131,after,2,6519.0,intake gasket leak/damage,,-1
132,after,2,169.0,intake gasket leak/damage,,-1
134,before,0,528.0,intake gasket leak/damage,,0
135,after,1,5367.0,intake gasket leak/damage,,-1
137,same,0,60.0,intake gasket leak/damage,,-1
139,after,4,6967.0,intake gasket leak/damage,,-1
142,before,-2,1695.0,intake gasket leak/damage,,4
144,same,0,12.0,intake gasket leak/damage,,-1
146,same,0,3999.0,intake gasket leak/damage,,-1
147,after,1,5601.0,intake gasket leak/damage,,-1
148,after,1,8965.0,intake gasket leak/damage,,-1
149,after,1,5564.0,intake gasket leak/damage,,-1
151,same,0,5504.0,intake gasket leak/damage,,-1
152,after,41,76.0,intake gasket leak/damage,,-1
153,before,0,4442.0,intake gasket leak/damage,,0
155,after,3,29.0,intake gasket leak/damage,,-1
157,before,-2,4916.0,intake gasket leak/damage,,2
159,after,4,14.0,intake gasket leak/damage,,-1
160,same,0,461.0,intake gasket leak/damage,,-1
161,before,0,629.0,intake gasket leak/damage,,0
162,after,4,5442.0,intake gasket leak/damage,,-1
167,after,5,531.0,intake gasket leak/damage,,-1
168,before,-3,5611.0,intake gasket leak/damage,,0
169,before,-2,7608.0,intake gasket leak/damage,,1
171,after,1,5314.0,intake gasket leak/damage,,-1
172,before,-2,40.0,intake gasket leak/damage,,3
173,after,1,4106.0,intake gasket leak/damage,,-1
174,same,0,5181.0,intake gasket leak/damage,,-1
175,before,-2,2844.0,intake gasket leak/damage,,0
176,after,8,45.0,intake gasket leak/damage,,-1
177,same,0,387.0,intake gasket leak/damage,,-1
178,before,0,7450.0,intake gasket leak/damage,,0
179,same,0,4978.0,intake gasket leak/damage,,-1
180,same,0,341.0,intake gasket leak/damage,,-1
181,before,-1,4341.0,intake gasket leak/damage,,3
182,same,0,294.0,intake gasket leak/damage,,-1
183,same,0,1821.0,intake gasket leak/damage,,-1
184,same,0,3329.0,intake gasket leak/damage,,-1
186,same,0,68.0,intake gasket leak/damage,,-1
187,same,0,372.0,intake gasket leak/damage,,-1
188,after,2,9436.0,intake gasket leak/damage,,-1
189,after,1,3391.0,intake gasket leak/damage,,-1
190,before,0,450.0,intake gasket leak/damage,,0
191,before,-1,26.0,intake gasket leak/damage,,1
192,same,0,1633.0,intake gasket leak/damage,,-1
193,before,-2,5601.0,intake gasket leak/damage,,4
194,before,-3,6666.0,intake gasket leak/damage,,1
195,before,0,9668.0,intake gasket leak/damage,,0
196,same,0,92.0,intake gasket leak/damage,,-1
197,after,1,6658.0,intake gasket leak/damage,,-1
199,after,5,2171.0,intake gasket leak/damage,,-1
201,same,0,278.0,intake gasket leak/damage,,-1
202,before,-1,5736.0,intake gasket leak/damage,,2
203,before,-1,8557.0,intake gasket leak/damage,,2
204,before,0,138.0,intake gasket leak/damage,,0
205,before,-1,5054.0,intake gasket leak/damage,,2
207,before,-2,481.0,intake gasket leak/damage,,0
208,before,-7,60.0,intake gasket leak/damage,,2
210,same,0,232.0,intake gasket leak/damage,,-1
211,after,2,4683.0,intake gasket leak/damage,,-1
213,before,-3,5259.0,intake gasket leak/damage,,4
214,before,-2,5975.0,intake gasket leak/damage,,2
216,same,0,60.0,intake gasket leak/damage,,-1
217,after,2,9856.0,intake gasket leak/damage,,-1
218,after,4,5772.0,intake gasket leak/damage,,-1
219,after,1,6143.0,intake gasket leak/damage,,-1
221,same,0,4294.0,intake gasket leak/damage,,-1
223,after,2,5849.0,intake gasket leak/damage,,-1
224,after,1,169.0,intake gasket leak/damage,,-1
226,after,2,5181.0,intake gasket leak/damage,,-1
227,before,-1,4108.0,intake gasket leak/damage,,0
229,before,-3,5250.0,intake gasket leak/damage,,2
230,same,0,615.0,intake gasket leak/damage,,-1
231,same,0,590.0,intake gasket leak/damage,,-1
232,after,4,5310.0,intake gasket leak/damage,,-1
233,after,2,5754.0,intake gasket leak/damage,,-1
234,before,-2,14.0,intake gasket leak/damage,,3
235,before,-2,4667.0,intake gasket leak/damage,,2
237,before,-1,4216.0,intake gasket leak/damage,,4
238,before,-2,4648.0,intake gasket leak/damage,,2
241,before,-3,4525.0,intake gasket leak/damage,,3
242,same,0,496.0,intake gasket leak/damage,,-1
244,same,0,9804.0,intake gasket leak/damage,,-1
245,same,0,8299.0,intake gasket leak/damage,,-1
246,same,0,5383.0,intake gasket leak/damage,,-1
247,before,-1,3313.0,intake gasket leak/damage,,0
248,after,1,6346.0,intake gasket leak/damage,,-1
250,before,-2,4926.0,intake gasket leak/damage,,3
251,after,1,4356.0,intake gasket leak/damage,,-1
252,same,0,294.0,intake gasket leak/damage,,-1
253,same,0,310.0,intake gasket leak/damage,,-1
254,before,-1,5243.0,intake gasket leak/damage,,0
256,before,-1,4698.0,intake gasket leak/damage,,2
257,same,0,356.0,intake gasket leak/damage,,-1
258,same,0,12.0,intake gasket leak/damage,,-1
259,same,0,391.0,intake gasket leak/damage,,-1
260,same,0,7421.0,intake gasket leak/damage,,-1
261,after,1,4621.0,intake gasket leak/damage,,-1
262,after,1,29.0,intake gasket leak/damage,,-1
263,before,-3,2628.0,intake gasket leak/damage,,0
264,same,0,45.0,intake gasket leak/damage,,-1
265,before,-1,6254.0,intake gasket leak/damage,,2
267,after,1,9120.0,intake gasket leak/damage,,-1
268,before,-1,29.0,intake gasket leak/damage,,2
269,after,3,3532.0,intake gasket leak/damage,,-1
270,same,0,195.0,intake gasket leak/damage,,-1
271,before,0,45.0,intake gasket leak/damage,,0
273,before,0,574.0,intake gasket leak/damage,,0
274,after,1,4592.0,intake gasket leak/damage,,-1
275,before,-1,12.0,intake gasket leak/damage,,1
276,same,0,92.0,intake gasket leak/damage,,-1
277,before,-1,4869.0,intake gasket leak/damage,,1
278,after,1,2752.0,intake gasket leak/damage,,-1
279,same,0,419.0,intake gasket leak/damage,,-1
280,same,0,4496.0,intake gasket leak/damage,,-1
281,after,2,5228.0,intake gasket leak/damage,,-1
282,before,-1,3111.0,intake gasket leak/damage,,0
283,after,1,4385.0,intake gasket leak/damage,,-1
284,before,-2,4651.0,intake gasket leak/damage,,0
285,before,-1,13073.0,intake gasket leak/damage,,0
286,before,-4,5765.0,intake gasket leak/damage,,3
287,after,1,5834.0,intake gasket leak/damage,,-1
288,after,1,4728.0,intake gasket leak/damage,,-1
291,after,3,5205.0,intake gasket leak/damage,,-1
292,same,0,294.0,intake gasket leak/damage,,-1
294,same,0,29.0,intake gasket leak/damage,,-1
296,after,1,5196.0,intake gasket leak/damage,,-1
297,after,1,5255.0,intake gasket leak/damage,,-1
299,after,4,5019.0,intake gasket leak/damage,,-1
301,before,-2,45.0,intake gasket leak/damage,,3
302,after,1,5178.0,intake gasket leak/damage,,-1
304,after,1,5130.0,intake gasket leak/damage,,-1
307,same,0,7360.0,intake gasket leak/damage,,-1
308,before,0,96.0,intake gasket leak/damage,,0
309,before,-1,14.0,intake gasket leak/damage,,2
312,after,1,12.0,intake gasket leak/damage,,-1
314,after,2,1302.0,intake gasket leak/damage,,-1
315,before,-3,3777.0,intake gasket leak/damage,,2
316,same,0,237.0,intake gasket leak/damage,,-1
318,after,1,3548.0,intake gasket leak/damage,,-1
319,same,0,138.0,intake gasket leak/damage,,-1
320,after,1,12.0,intake gasket leak/damage,,-1
321,before,-1,92.0,intake gasket leak/damage,,2
322,before,-1,76.0,intake gasket leak/damage,,2
325,after,2,1926.0,intake gasket leak/damage,,-1
326,after,4,12.0,intake gasket leak/damage,,-1
327,same,0,29.0,intake gasket leak/damage,,-1
328,after,3,29.0,intake gasket leak/damage,,-1
329,before,-11,5321.0,intake gasket leak/damage,,2
332,after,4,3167.0,intake gasket leak/damage,,-1
333,after,1,2860.0,intake gasket leak/damage,,-1
334,same,0,14.0,intake gasket leak/damage,,-1
335,after,1,4944.0,intake gasket leak/damage,,-1
337,after,3,4932.0,intake gasket leak/damage,,-1
338,same,0,574.0,intake gasket leak/damage,,-1
339,after,1,11144.0,intake gasket leak/damage,,-1
340,before,-23,5571.0,intake gasket leak/damage,,4
341,same,0,7905.0,intake gasket leak/damage,,-1
342,before,-1,5306.0,intake gasket leak/damage,,2
344,before,-4,6341.0,intake gasket leak/damage,,4
345,after,1,237.0,intake gasket leak/damage,,-1
347,after,1,4356.0,intake gasket leak/damage,,-1
349,after,2,5578.0,intake gasket leak/damage,,-1
350,before,0,447.0,intake gasket leak/damage,,0
351,after,1,5734.0,intake gasket leak/damage,,-1
354,before,-5,4372.0,intake gasket leak/damage,,1
356,same,0,14.0,intake gasket leak/damage,,-1
357,before,0,29.0,intake gasket leak/damage,,0
358,before,-4,3944.0,intake gasket leak/damage,,0
359,before,-5,4400.0,intake gasket leak/damage,,4
360,before,0,68.0,intake gasket leak/damage,,0
361,before,-7,1568.0,intake gasket leak/damage,,2
362,after,1,5382.0,intake gasket leak/damage,,-1
364,after,1,5407.0,intake gasket leak/damage,,-1
365,before,-3,3221.0,intake gasket leak/damage,,1
366,same,0,601.0,intake gasket leak/damage,,-1
367,after,1,7531.0,intake gasket leak/damage,,-1
368,after,5,7967.0,intake gasket leak/damage,,-1
369,after,2,4830.0,intake gasket leak/damage,,-1
371,before,-1,5674.0,intake gasket leak/damage,,0
372,after,1,6000.0,intake gasket leak/damage,,-1
374,before,-2,10347.0,intake gasket leak/damage,,2
375,same,0,310.0,intake gasket leak/damage,,-1
376,before,-2,683.0,intake gasket leak/damage,,4
377,before,-1,6059.0,intake gasket leak/damage,,3
378,same,0,29.0,intake gasket leak/damage,,-1
379,after,1,4808.0,intake gasket leak/damage,,-1
380,after,1,29.0,intake gasket leak/damage,,-1
381,after,5,4847.0,intake gasket leak/damage,,-1
382,before,-2,6924.0,intake gasket leak/damage,,3
383,before,-1,1538.0,intake gasket leak/damage,,1
384,after,1,6823.0,intake gasket leak/damage,,-1
385,after,2,2659.0,intake gasket leak/damage,,-1
387,before,-1,6457.0,intake gasket leak/damage,,3
388,after,1,3764.0,intake gasket leak/damage,,-1
389,after,1,14.0,intake gasket leak/damage,,-1
391,same,0,325.0,intake gasket leak/damage,,-1
392,same,0,4614.0,intake gasket leak/damage,,-1
393,before,-1,3265.0,intake gasket leak/damage,,0
394,after,1,1443.0,intake gasket leak/damage,,-1
395,before,-1,29.0,intake gasket leak/damage,,2
396,before,-1,1597.0,intake gasket leak/damage,,0
397,before,-1,6411.0,intake gasket leak/damage,,2
400,before,0,68.0,intake gasket leak/damage,,0
401,same,0,60.0,intake gasket leak/damage,,-1
402,after,1,5869.0,intake gasket leak/damage,,-1
403,before,-6,5759.0,intake gasket leak/damage,,2
404,before,-1,29.0,intake gasket leak/damage,,3
405,after,1,3964.0,intake gasket leak/damage,,-1
407,before,-2,5987.0,intake gasket leak/damage,,2
408,after,1,9385.0,intake gasket leak/damage,,-1
409,same,0,4263.0,intake gasket leak/damage,,-1
410,before,-1,7474.0,intake gasket leak/damage,,2
411,after,2,14765.0,intake gasket leak/damage,,-1
413,before,-1,3407.0,intake gasket leak/damage,,1
414,same,0,403.0,intake gasket leak/damage,,-1
416,before,-3,9904.0,intake gasket leak/damage,,4
421,after,6,6193.0,intake gasket leak/damage,,-1
422,same,0,7251.0,intake gasket leak/damage,,-1
423,after,3,5760.0,intake gasket leak/damage,,-1
424,after,1,82.0,intake gasket leak/damage,,-1
425,same,0,5160.0,intake gasket leak/damage,,-1
426,after,1,4978.0,intake gasket leak/damage,,-1
427,after,4,60.0,intake gasket leak/damage,,-1
428,before,-4,3065.0,intake gasket leak/damage,,2
429,after,1,6051.0,intake gasket leak/damage,,-1
430,before,-2,1975.0,intake gasket leak/damage,,0
431,before,-1,2003.0,intake gasket leak/damage,,0
432,after,2,5281.0,intake gasket leak/damage,,-1
433,before,-1,6572.0,intake gasket leak/damage,,1
434,before,-2,14.0,intake gasket leak/damage,,4
436,same,0,1135.0,intake gasket leak/damage,,-1
437,after,1,4894.0,intake gasket leak/damage,,-1
439,same,0,310.0,intake gasket leak/damage,,-1
441,after,2,6051.0,intake gasket leak/damage,,-1
442,before,0,92.0,intake gasket leak/damage,,0
444,before,-3,123.0,intake gasket leak/damage,,2
445,after,1,6936.0,intake gasket leak/damage,,-1
450,after,1,4337.0,intake gasket leak/damage,,-1
451,before,0,26.0,intake gasket leak/damage,,0
452,before,0,2907.0,intake gasket leak/damage,,0
453,same,0,480.0,intake gasket leak/damage,,-1
454,before,-1,1648.0,intake gasket leak/damage,,3
455,before,-4,3231.0,intake gasket leak/damage,,3
456,before,-4,45.0,intake gasket leak/damage,,2
460,same,0,387.0,intake gasket leak/damage,,-1
461,before,0,8701.0,intake gasket leak/damage,,0
462,after,1,3655.0,intake gasket leak/damage,,-1
464,same,0,356.0,intake gasket leak/damage,,-1
465,same,0,4696.0,intake gasket leak/damage,,-1
467,before,-1,4589.0,intake gasket leak/damage,,1
468,after,1,29.0,intake gasket leak/damage,,-1
469,after,2,5398.0,intake gasket leak/damage,,-1
471,after,7,92.0,intake gasket leak/damage,,-1
472,same,0,4242.0,intake gasket leak/damage,,-1
474,after,33,325.0,intake gasket leak/damage,,-1
475,after,5,12.0,intake gasket leak/damage,,-1
476,before,-2,6501.0,intake gasket leak/damage,,3
477,after,1,5772.0,intake gasket leak/damage,,-1
478,before,-2,4450.0,intake gasket leak/damage,,1
479,after,1,6796.0,intake gasket leak/damage,,-1
482,before,-2,5185.0,intake gasket leak/damage,,4
483,same,0,5771.0,intake gasket leak/damage,,-1
485,before,-1,5415.0,intake gasket leak/damage,,1
486,before,0,896.0,intake gasket leak/damage,,0
487,after,1,3995.0,intake gasket leak/damage,,-1
489,before,-1,4637.0,intake gasket leak/damage,,3
493,after,3,3081.0,intake gasket leak/damage,,-1
494,before,-16,5056.0,intake gasket leak/damage,,3
496,before,-1,5477.0,intake gasket leak/damage,,1
499,before,-2,138.0,intake gasket leak/damage,,0
500,before,-2,60.0,intake gasket leak/damage,,4
501,after,12,14.0,intake gasket leak/damage,,-1
502,same,0,232.0,intake gasket leak/damage,,-1
503,before,-1,4775.0,intake gasket leak/damage,,2
504,after,1,4007.0,intake gasket leak/damage,,-1
506,before,0,9038.0,intake gasket leak/damage,,0
507,before,-1,6894.0,intake gasket leak/damage,,1
510,before,-5,5404.0,intake gasket leak/damage,,0
512,same,0,6579.0,intake gasket leak/damage,,-1
513,before,-2,5210.0,intake gasket leak/damage,,2
514,after,22,10021.0,intake gasket leak/damage,,-1
515,before,-3,6264.0,intake gasket leak/damage,,1
517,same,0,573.0,intake gasket leak/damage,,-1
519,after,1,29.0,intake gasket leak/damage,,-1
520,same,0,465.0,intake gasket leak/damage,,-1
521,same,0,9335.0,intake gasket leak/damage,,-1
522,before,-2,7198.0,intake gasket leak/damage,,2
524,after,2,5955.0,intake gasket leak/damage,,-1
525,after,1,14.0,intake gasket leak/damage,,-1
528,after,1,6161.0,intake gasket leak/damage,,-1
529,same,0,433.0,intake gasket leak/damage,,-1
530,after,1,6643.0,intake gasket leak/damage,,-1
531,same,0,512.0,intake gasket leak/damage,,-1
532,before,0,45.0,intake gasket leak/damage,,0
533,before,-1,4185.0,intake gasket leak/damage,,4
535,same,0,434.0,intake gasket leak/damage,,-1
536,before,-3,5135.0,intake gasket leak/damage,,1
537,same,0,294.0,intake gasket leak/damage,,-1
538,after,2,1539.0,intake gasket leak/damage,,-1
539,after,1,3964.0,intake gasket leak/damage,,-1
541,after,1,5539.0,intake gasket leak/damage,,-1
542,after,5,4310.0,intake gasket leak/damage,,-1
543,before,-2,40.0,intake gasket leak/damage,,2
544,before,-3,5547.0,intake gasket leak/damage,,3
546,same,0,4168.0,intake gasket leak/damage,,-1
548,before,-1,7702.0,intake gasket leak/damage,,0
549,before,-1,5783.0,intake gasket leak/damage,,2
550,after,3,9911.0,intake gasket leak/damage,,-1
551,same,0,387.0,intake gasket leak/damage,,-1
553,before,0,4306.0,intake gasket leak/damage,,0
554,after,5,4746.0,intake gasket leak/damage,,-1
555,after,5,9322.0,intake gasket leak/damage,,-1
556,before,0,180.0,intake gasket leak/damage,,0
557,before,-2,4356.0,intake gasket leak/damage,,3
558,before,-1,1213.0,intake gasket leak/damage,,0
559,before,-3,8453.0,intake gasket leak/damage,,2
560,before,-1,4169.0,intake gasket leak/damage,,0
561,after,5,4993.0,intake gasket leak/damage,,-1
562,after,1,6143.0,intake gasket leak/damage,,-1
564,after,1,6996.0,intake gasket leak/damage,,-1
565,before,0,372.0,intake gasket leak/damage,,0
566,before,0,123.0,intake gasket leak/damage,,0
567,before,-1,5473.0,intake gasket leak/damage,,0
568,after,3,14.0,intake gasket leak/damage,,-1
569,before,-2,60.0,intake gasket leak/damage,,2
570,after,1,5041.0,intake gasket leak/damage,,-1
572,before,-1,6713.0,intake gasket leak/damage,,3
574,after,1,2687.0,intake gasket leak/damage,,-1
575,before,-1,4807.0,intake gasket leak/damage,,2
576,after,1,9736.0,intake gasket leak/damage,,-1
578,after,2,4382.0,intake gasket leak/damage,,-1
579,before,-1,1679.0,intake gasket leak/damage,,0
580,before,0,5660.0,intake gasket leak/damage,,0
581,after,5,5942.0,intake gasket leak/damage,,-1
582,before,-1,6239.0,intake gasket leak/damage,,4
583,after,1,14.0,intake gasket leak/damage,,-1
585,after,1,6545.0,intake gasket leak/damage,,-1
586,before,-1,152.0,intake gasket leak/damage,,0
587,same,0,185.0,intake gasket leak/damage,,-1
588,same,0,4278.0,intake gasket leak/damage,,-1
589,after,2,4667.0,intake gasket leak/damage,,-1
591,before,-4,1665.0,intake gasket leak/damage,,2
592,before,-1,154.0,intake gasket leak/damage,,0
593,before,-1,5166.0,intake gasket leak/damage,,3
594,same,0,528.0,intake gasket leak/damage,,-1
596,after,1,14.0,intake gasket leak/damage,,-1
598,after,1,124.0,intake gasket leak/damage,,-1
599,after,5,3811.0,intake gasket leak/damage,,-1
600,same,0,590.0,intake gasket leak/damage,,-1
601,after,1,45.0,intake gasket leak/damage,,-1
602,before,0,124.0,intake gasket leak/damage,,0
603,after,2,29.0,intake gasket leak/damage,,-1
604,after,2,3775.0,intake gasket leak/damage,,-1
605,before,-1,2272.0,intake gasket leak/damage,,0
607,after,5,2472.0,intake gasket leak/damage,,-1
610,after,2,7741.0,intake gasket leak/damage,,-1
613,same,0,325.0,intake gasket leak/damage,,-1
614,before,-1,5725.0,intake gasket leak/damage,,3
615,after,1,5129.0,intake gasket leak/damage,,-1
617,before,-2,5136.0,intake gasket leak/damage,,1
618,same,0,2489.0,intake gasket leak/damage,,-1
620,before,-4,45.0,intake gasket leak/damage,,2
621,before,-1,60.0,intake gasket leak/damage,,2
622,before,-2,3298.0,intake gasket leak/damage,,2
623,after,1,6705.0,intake gasket leak/damage,,-1
624,same,0,169.0,intake gasket leak/damage,,-1
626,same,0,263.0,intake gasket leak/damage,,-1
628,after,1,45.0,intake gasket leak/damage,,-1
629,same,0,341.0,intake gasket leak/damage,,-1
630,before,-2,7479.0,intake gasket leak/damage,,3
631,after,1,5663.0,intake gasket leak/damage,,-1
632,before,-3,5445.0,intake gasket leak/damage,,1
634,after,2,4933.0,intake gasket leak/damage,,-1
635,before,-1,60.0,intake gasket leak/damage,,3
636,before,-3,8725.0,intake gasket leak/damage,,4
640,before,-1,7157.0,intake gasket leak/damage,,3
641,before,-4,3749.0,intake gasket leak/damage,,4
642,before,-3,7875.0,intake gasket leak/damage,,4
643,after,1,45.0,intake gasket leak/damage,,-1
644,after,1,5632.0,intake gasket leak/damage,,-1
645,before,0,621.0,intake gasket leak/damage,,0
646,same,0,4623.0,intake gasket leak/damage,,-1
647,after,2,5368.0,intake gasket leak/damage,,-1
648,before,-1,5717.0,intake gasket leak/damage,,0
649,after,2,4305.0,intake gasket leak/damage,,-1
650,after,3,7533.0,intake gasket leak/damage,,-1
651,same,0,1763.0,intake gasket leak/damage,,-1
652,before,-1,26.0,intake gasket leak/damage,,3
653,after,1,5285.0,intake gasket leak/damage,,-1
655,after,5,7345.0,intake gasket leak/damage,,-1
656,after,1,6563.0,intake gasket leak/damage,,-1
657,after,4,5042.0,intake gasket leak/damage,,-1
658,after,2,29.0,intake gasket leak/damage,,-1
660,after,1,2270.0,intake gasket leak/damage,,-1
661,after,3,8233.0,intake gasket leak/damage,,-1
662,after,3,5351.0,intake gasket leak/damage,,-1
663,before,-1,5173.0,intake gasket leak/damage,,3
665,before,-2,67.0,intake gasket leak/damage,,1
666,after,3,9035.0,intake gasket leak/damage,,-1
667,after,2,2143.0,intake gasket leak/damage,,-1
668,after,1,29.0,intake gasket leak/damage,,-1
669,before,0,294.0,intake gasket leak/damage,,0
670,same,0,68.0,intake gasket leak/damage,,-1
671,after,1,9695.0,intake gasket leak/damage,,-1
673,before,-1,4559.0,intake gasket leak/damage,,1
674,before,-1,5503.0,intake gasket leak/damage,,1
675,after,4,7531.0,intake gasket leak/damage,,-1
676,before,-7,7124.0,intake gasket leak/damage,,3
678,before,-2,5144.0,intake gasket leak/damage,,0
679,same,0,76.0,intake gasket leak/damage,,-1
681,after,4,6176.0,intake gasket leak/damage,,-1
682,after,3,1773.0,intake gasket leak/damage,,-1
684,after,2,4232.0,intake gasket leak/damage,,-1
686,same,0,465.0,intake gasket leak/damage,,-1
687,same,0,278.0,intake gasket leak/damage,,-1
688,after,5,4977.0,intake gasket leak/damage,,-1
689,before,0,574.0,intake gasket leak/damage,,0
690,after,2,7749.0,intake gasket leak/damage,,-1
691,before,-2,216.0,intake gasket leak/damage,,0
692,after,5,26.0,intake gasket leak/damage,,-1
693,after,1,4848.0,intake gasket leak/damage,,-1
694,same,0,3406.0,intake gasket leak/damage,,-1
695,after,2,808.0,intake gasket leak/damage,,-1
696,before,-2,6048.0,intake gasket leak/damage,,2
697,same,0,4653.0,intake gasket leak/damage,,-1
698,before,-4,124.0,intake gasket leak/damage,,3
701,same,0,60.0,intake gasket leak/damage,,-1
702,before,-3,4027.0,intake gasket leak/damage,,2
703,before,-2,3753.0,intake gasket leak/damage,,3
704,after,1,5190.0,intake gasket leak/damage,,-1
705,after,3,4726.0,intake gasket leak/damage,,-1
706,after,1,1739.0,intake gasket leak/damage,,-1
707,same,0,574.0,intake gasket leak/damage,,-1
708,after,1,45.0,intake gasket leak/damage,,-1
709,after,1,3545.0,intake gasket leak/damage,,-1
710,after,1,4557.0,intake gasket leak/damage,,-1
711,after,2,4650.0,intake gasket leak/damage,,-1
712,after,4,13015.0,intake gasket leak/damage,,-1
714,after,2,4745.0,intake gasket leak/damage,,-1
715,after,1,5051.0,intake gasket leak/damage,,-1
716,after,1,2876.0,intake gasket leak/damage,,-1
